"John_KJV" "Luke_KJV" "Mark_KJV" "Matthew_KJV"
"earth" 0.0209489892112706 0.0655383785034118 0.0593432678359488 0.114001013342341
"much" 0.0523724730281764 0.0963799683873704 0.085718053540815 0.0380003377807803
"asked" 0.0523724730281764 0.0578279810324222 0.158248714229197 0.0295558182739402
"found" 0.0366607311197235 0.107945564593855 0.0527495714097323 0.0548893767944604
"simon" 0.125693935267623 0.0539727822969274 0.0593432678359488 0.0380003377807803
"thine" 0.0628469676338117 0.0771039747098963 0.0263747857048661 0.0844451950684006
"blessed" 0.0104744946056353 0.107945564593855 0.0461558749835158 0.0760006755615606
"king" 0.0837959568450822 0.0308415898839585 0.0725306606883819 0.0844451950684006
"being" 0.0890332041478999 0.0848143721808859 0.0461558749835158 0.0337780780273602
"brother" 0.0418979784225411 0.0501175835614326 0.0791243571145984 0.0886674548218206
"hands" 0.0523724730281764 0.0501175835614326 0.112092839245681 0.0548893767944604
"left" 0.0261862365140882 0.0501175835614326 0.105499142819465 0.0802229353149806
"can" 0.0995076987535351 0.0385519873549482 0.0791243571145984 0.0464448572876203
"light" 0.125693935267623 0.0501175835614326 0.00659369642621654 0.0591116365478804
"pilate" 0.10998219335917 0.0462623848259378 0.0659369642621654 0.0380003377807803
"prophet" 0.0523724730281764 0.0539727822969274 0.0263747857048661 0.101334234082081
"speak" 0.104744946056353 0.042407186090443 0.0659369642621654 0.0464448572876203
"departed" 0.0261862365140882 0.0578279810324222 0.0461558749835158 0.101334234082081
"enter" 0.0157117419084529 0.0655383785034118 0.0923117499670315 0.0717784158081405
"love" 0.115219440661988 0.0462623848259378 0.0395621785572992 0.0464448572876203
"mary" 0.0785587095422646 0.0655383785034118 0.0527495714097323 0.0464448572876203
"sea" 0.0523724730281764 0.0154207949419793 0.125280232098114 0.0760006755615606
"knew" 0.125693935267623 0.0385519873549482 0.0527495714097323 0.0337780780273602
"sabbath" 0.057609720330994 0.0693935772389067 0.0725306606883819 0.0422225975342003
"stood" 0.0837959568450822 0.0732487759744015 0.0527495714097323 0.0295558182739402
"written" 0.0785587095422646 0.0655383785034118 0.0527495714097323 0.0422225975342003
"ask" 0.0890332041478999 0.0501175835614326 0.0461558749835158 0.0506671170410404
"blind" 0.0942704514507175 0.0308415898839585 0.0329684821310827 0.0760006755615606
"followed" 0.0261862365140882 0.042407186090443 0.085718053540815 0.0844451950684006
"little" 0.073321462239447 0.042407186090443 0.0527495714097323 0.0675561560547205
"our" 0.0680842149366293 0.0771039747098963 0.0263747857048661 0.0506671170410404
"been" 0.0471352257253587 0.0462623848259378 0.0725306606883819 0.0675561560547205
"laid" 0.0628469676338117 0.0655383785034118 0.0659369642621654 0.0380003377807803
"spoken" 0.0942704514507175 0.0346967886194533 0.0395621785572992 0.0633338963013005
"evil" 0.0366607311197235 0.0539727822969274 0.0395621785572992 0.0844451950684006
"nor" 0.0523724730281764 0.0655383785034118 0.0197810892786496 0.0717784158081405
"seen" 0.120456687964806 0.0501175835614326 0.0263747857048661 0.0295558182739402
"wife" 0.00523724730281764 0.0693935772389067 0.0725306606883819 0.0717784158081405
"fruit" 0.0523724730281764 0.0501175835614326 0.0527495714097323 0.0633338963013005
"received" 0.0785587095422646 0.0346967886194533 0.0263747857048661 0.0760006755615606
"themselves" 0.0523724730281764 0.0385519873549482 0.118686535671898 0.0337780780273602
"twelve" 0.0314234838169058 0.0501175835614326 0.0923117499670315 0.0548893767944604
"eyes" 0.0942704514507175 0.0346967886194533 0.0395621785572992 0.0506671170410404
"cried" 0.0523724730281764 0.0385519873549482 0.0923117499670315 0.0422225975342003
"death" 0.0628469676338117 0.0385519873549482 0.0659369642621654 0.0506671170410404
"drink" 0.0366607311197235 0.0385519873549482 0.0659369642621654 0.0717784158081405
"having" 0.0418979784225411 0.0539727822969274 0.0791243571145984 0.0422225975342003
"heart" 0.0366607311197235 0.0462623848259378 0.0659369642621654 0.0633338963013005
"prophets" 0.0209489892112706 0.0693935772389067 0.0263747857048661 0.0717784158081405
"told" 0.0785587095422646 0.0539727822969274 0.0461558749835158 0.0295558182739402
"whatsoever" 0.057609720330994 0.0269863911484637 0.0593432678359488 0.0675561560547205
"child" 0.0104744946056353 0.0693935772389067 0.0329684821310827 0.0717784158081405
"devils" 0 0.0655383785034118 0.0791243571145984 0.0548893767944604
"entered" 0.0366607311197235 0.0693935772389067 0.0791243571145984 0.0211112987671002
"holy" 0.0261862365140882 0.0732487759744015 0.0461558749835158 0.0464448572876203
"ship" 0.0366607311197235 0.0154207949419793 0.118686535671898 0.0548893767944604
"water" 0.125693935267623 0.0269863911484637 0.0263747857048661 0.0295558182739402
"bring" 0.0366607311197235 0.0578279810324222 0.0461558749835158 0.0506671170410404
"devil" 0.0523724730281764 0.0501175835614326 0.0395621785572992 0.0506671170410404
"fell" 0.0104744946056353 0.0693935772389067 0.0659369642621654 0.0464448572876203
"immediately" 0.0261862365140882 0.0501175835614326 0.112092839245681 0.0253335585205202
"law" 0.0837959568450822 0.0539727822969274 0 0.0464448572876203
"words" 0.0995076987535351 0.042407186090443 0.0329684821310827 0.0253335585205202
"cannot" 0.0837959568450822 0.0385519873549482 0.0461558749835158 0.0295558182739402
"like" 0.0209489892112706 0.0501175835614326 0.0395621785572992 0.0717784158081405
"power" 0.0366607311197235 0.0693935772389067 0.0461558749835158 0.0337780780273602
"pray" 0.0314234838169058 0.0539727822969274 0.0527495714097323 0.0506671170410404
"through" 0.0523724730281764 0.0655383785034118 0.0461558749835158 0.0253335585205202
"voice" 0.073321462239447 0.0462623848259378 0.0461558749835158 0.0295558182739402
"begat" 0 0 0 0.164668130383381
"body" 0.0261862365140882 0.0501175835614326 0.0395621785572992 0.0633338963013005
"brethren" 0.0314234838169058 0.0385519873549482 0.0461558749835158 0.0675561560547205
"feet" 0.0680842149366293 0.061683179767917 0.0263747857048661 0.0253335585205202
"fulfilled" 0.057609720330994 0.0308415898839585 0.0263747857048661 0.0675561560547205
"high" 0.0628469676338117 0.0269863911484637 0.0725306606883819 0.0380003377807803
"peace" 0.0314234838169058 0.0732487759744015 0.0527495714097323 0.0253335585205202
"rise" 0.0209489892112706 0.0501175835614326 0.085718053540815 0.0380003377807803
"save" 0.0261862365140882 0.0501175835614326 0.0593432678359488 0.0506671170410404
"send" 0.0314234838169058 0.0385519873549482 0.0659369642621654 0.0548893767944604
"sick" 0.0261862365140882 0.0269863911484637 0.085718053540815 0.0591116365478804
"taken" 0.0418979784225411 0.0655383785034118 0.0263747857048661 0.0422225975342003
"witness" 0.10998219335917 0.0154207949419793 0.0527495714097323 0.0253335585205202
"believed" 0.141405677176076 0.0192759936774741 0.0197810892786496 0.0126667792602601
"david" 0.0104744946056353 0.0462623848259378 0.0461558749835158 0.0717784158081405
"likewise" 0.0157117419084529 0.0771039747098963 0.0263747857048661 0.0464448572876203
"meat" 0.0366607311197235 0.0655383785034118 0.0263747857048661 0.0422225975342003
"moses" 0.0680842149366293 0.0385519873549482 0.0527495714097323 0.0295558182739402
"set" 0.0366607311197235 0.0539727822969274 0.0593432678359488 0.0337780780273602
"truth" 0.141405677176076 0.0192759936774741 0.0197810892786496 0.0126667792602601
"country" 0.0157117419084529 0.061683179767917 0.0659369642621654 0.0337780780273602
"here" 0.0157117419084529 0.0462623848259378 0.0593432678359488 0.0548893767944604
"sheep" 0.115219440661988 0.00771039747098963 0.0131873928524331 0.0464448572876203
"thing" 0.0418979784225411 0.0501175835614326 0.0659369642621654 0.0253335585205202
